especies,registros BHRD,Hábito,ID,SpecieName,Family,Genus,Specific.Epiteth,Seed.type,Sind,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,scientificName,id_bhrd,id_flora,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vernacular.name,occurrence,establishment,arvore_life.form,Arbusto_life.form,LVT_life.form,Subarbusto_life.form,suculenta_life.form,Terricola_habitat,Rupicola_habitat,Hemiepifita_habitat
Schinus terebinthifolia,41,Arbusto|Árvore,1666,Schinus terebinthifolius,Anacardiaceae,Schinus,terebinthifolius,orthodox,zoochoric,6,6,"3,5","3,5","0,645",10,Schinus terebinthifolia,sp_0041,15471,Schinus terebinthifolia Raddi,Schinus terebinthifolius Raddi,Anacardiaceae,species,accepted,Schinus terebinthifolia,NA,,Schinus terebinthifolia,Arbusto|arvore,Terricola,aroeira-da-praia/PORTUGUES/Bahia | aroeira-de-remi©dio/PORTUGUES/Bahia | aroeira-mansa/PORTUGUES/sudeste | aroeira-vermelha/PORTUGUES/Bahia | aroeira/PORTUGUES/Brasil,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-MS|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Psychotria vellosiana,41,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psychotria vellosiana,sp_0040,14228,Psychotria vellosiana Benth.,NA,Rubiaceae,species,accepted,Psychotria vellosiana,NA,,Psychotria vellosiana,Arbusto|arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PE|BR-PR|BR-RJ|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Guarea macrophylla,40,Árvore,762,Guarea macrophylla,Meliaceae,Guarea,macrophylla,recalcitrant,zoochoric,20,28,"8,6","12,8","0,65",10,Guarea macrophylla,sp_0046,9997,Guarea macrophylla Vahl,NA,Meliaceae,species,accepted,Guarea macrophylla,NA,,Guarea macrophylla,arvore,Terricola,cafi© bravo/PORTUGUES/Sao Paulo | cafi© do mato/PORTUGUES/Rio de Janeiro | camboati¡/PORTUGUES/Rio Grande do Sul | catigua branca/PORTUGUES/Santa Catarina | gitio/PORTUGUES/Acre,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Guarea guidonia,40,Árvore,759,Guarea guidonia,Meliaceae,Guarea,guidonia,recalcitrant,zoochoric,12,16,10,13,"0,62220625",20,Guarea guidonia,sp_0045,9995,Guarea guidonia (L.) Sleumer,NA,Meliaceae,species,accepted,Guarea guidonia,NA,,Guarea guidonia,arvore,Terricola,carrapeta/PORTUGUES/Rio de Janeiro | gitio/PORTUGUES/Ceari¡ | jatuauba/PORTUGUES/Amazonas | marinheiro/PORTUGUES/Goii¡s,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Myrcia eriocalyx,40,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrcia eriocalyx,sp_0047,10684,Myrcia eriocalyx DC.,NA,Myrtaceae,species,accepted,Myrcia eriocalyx,NA,,Myrcia eriocalyx,Arbusto|arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Pseudopiptadenia contorta,39,Árvore,1563,Pseudopiptadenia contorta,Fabaceae,Pseudopiptadenia,contorta,orthodox,abiotic,"10,03",309,"7,9","22,9","0,62",24,Pseudopiptadenia contorta,sp_0051,18996,Pseudopiptadenia contorta (DC.) G.P.Lewis & M.P.Lima,NA,Fabaceae,species,accepted,Pseudopiptadenia contorta,NA,,Pseudopiptadenia contorta,arvore,Terricola,NA,BR-AL|BR-BA|BR-ES|BR-MG|BR-PB|BR-PE|BR-RJ|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Stryphnodendron polyphyllum,38,Árvore,1766,Stryphnodendron polyphyllum,Fabaceae,Stryphnodendron,polyphyllum,orthodox,abiotic,13,150,6,9,NA,6,Stryphnodendron polyphyllum,sp_0058,83739,Stryphnodendron polyphyllum Mart.,NA,Fabaceae,species,accepted,Stryphnodendron polyphyllum,NA,,Stryphnodendron polyphyllum,arvore,Terricola,NA,BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT,native,1,0,0,0,0,1,0,0
Aureliana velutina,37,Árvore,136,Aureliana velutina,Solanaceae,Aureliana,velutina,orthodox,zoochoric,NA,NA,NA,NA,NA,6,Aureliana velutina,sp_0060,14587,Aureliana velutina Sendtn.,NA,Solanaceae,species,accepted,Aureliana velutina,NA,,Aureliana velutina,arvore,Terricola,NA,BR-BA|BR-CE|BR-DF|BR-GO|BR-MG,native,1,0,0,0,0,1,0,0
Trema micrantha,36,Arbusto|Árvore,1892,Trema micrantha,Cannabaceae,Trema,micrantha,orthodox,zoochoric,"2,7","3,5","1,7",2,"0,25",12,Trema micrantha,sp_0076,106894,Trema micrantha (L.) Blume,NA,Cannabaceae,species,accepted,Trema micrantha,NA,,Trema micrantha,Arbusto|arvore,Terricola,candiiºba/PORTUGUES/sudeste | crindiiºva/PORTUGUES/Brasil,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Senna macranthera,36,Arbusto|Árvore,1681,Senna macranthera,Fabaceae,Senna,macranthera,orthodox,abiotic,10,300,"4,6","5,8","0,5",15,Senna macranthera,sp_0074,28201,Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,NA,Fabaceae,species,accepted,Senna macranthera,NA,,Senna macranthera,Arbusto|arvore,Terricola,manduirana/PORTUGUES/Sul,BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-PE|BR-PI|BR-RJ|BR-RN,native,"0,5","0,5",0,0,0,1,0,0
Leandra melastomoides,36,Arbusto|Árvore,946,Leandra melastomoides,Melastomataceae,Leandra,melastomoides,orthodox,zoochoric,"7,5","9,3",1,NA,NA,6,Leandra melastomoides,sp_0071,9572,Leandra melastomoides Raddi,NA,Melastomataceae,species,accepted,Leandra melastomoides,NA,,Leandra melastomoides,Arbusto|arvore,Terricola,cambari¡-do-mato/PORTUGUES/Sudeste | pixirica/PORTUGUES/Sudeste,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PB|BR-PR|BR-RJ|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Trembleya parviflora,36,Arbusto|Árvore,1893,Trembleya parviflora,Melastomataceae,Trembleya,parviflora,orthodox,zoochoric,3,NA,NA,NA,NA,15,Trembleya parviflora,sp_0077,9983,Trembleya parviflora (D.Don) Cogn.,NA,Melastomataceae,species,accepted,Trembleya parviflora,NA,,Trembleya parviflora,Arbusto|arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Hortia brasiliana,36,Arbusto|Árvore,825,Hortia brasiliana,Rutaceae,Hortia,brasiliana,NA,zoochoric,"23,17","32,84","4,5","7,5","1,02",25,Hortia brasiliana,sp_0070,786,Hortia brasiliana Vand. ex DC.,NA,Rutaceae,species,accepted,Hortia brasiliana,NT,,Hortia brasiliana,Arbusto|arvore,Terricola,"coronel/PORTUGUES/Bahia | laranjinha/PORTUGUES/Pernambuco | lima d'anta/PORTUGUES/Minas Gerais | paratudo-vermelho/PORTUGUES/Espi­rito Santo | pratudo/PORTUGUES/Bahia, Minas Gerais, Rio de Janeiro",BR-BA|BR-ES|BR-MG|BR-PE|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Melanoxylon brauna,36,Árvore,1086,Melanoxylon brauna,Fabaceae,Melanoxylon,brauna,orthodox,abiotic,41,"130,8","6,07","12,1",NA,25,Melanoxylon brauna,sp_0072,28147,Melanoxylon brauna Schott,NA,Fabaceae,species,accepted,Melanoxylon brauna,VU,,Melanoxylon brauna,arvore,Terricola,"braiºna/PORTUGUES/Bahia, Minas Gerais e Rio de Janeiro",BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Pera glabrata,35,Arbusto|Árvore,1438,Pera glabrata,Peraceae,Pera,glabrata,recalcitrant,zoochoric,"2,3","4,2","2,6",4,"0,685",10,Pera glabrata,sp_0083,17629,Pera glabrata (Schott) Poepp. ex Baill.,NA,Peraceae,species,accepted,Pera glabrata,NA,,Pera glabrata,Arbusto|arvore,Terricola,"cabeluda -do-mato/PORTUGUES/Sudeste | corai§ao-de-bugre/PORTUGUES/Sul | folha miuda/PORTUGUES/Sudeste | sapateiro/PORTUGUES/Sudeste | sete casca/PORTUGUES/Nordeste | tabacuva; tabocuva/PORTUGUES/Sul | tamanqueira, pau de sapateiro/PORTUGUES/Sudeste",BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Maclura tinctoria,35,Arbusto|Árvore,1023,Maclura tinctoria,Moraceae,Maclura,tinctoria,orthodox,zoochoric,"12,6","14,2","2,1","2,5","0,8366",30,Maclura tinctoria,sp_0081,10186,Maclura tinctoria (L.) D.Don ex Steud.,NA,Moraceae,species,accepted,Maclura tinctoria,NA,,Maclura tinctoria,Arbusto|arvore,Terricola,Tatajuba/PORTUGUES/Rio de Janeiro,BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Machaerium brasiliense,35,Arbusto|Árvore|Liana/volúvel/trepadeira,1005,Machaerium brasiliense,Fabaceae,Machaerium,brasiliense,orthodox,abiotic,"14,69","60,16","5,82",12,"0,66",15,Machaerium brasiliense,sp_0080,29764,Machaerium brasiliense Vogel,NA,Fabaceae,species,accepted,Machaerium brasiliense,NA,,Machaerium brasiliense,Arbusto|arvore|Liana/voluvel/trepadeira,Terricola,Jacarandi¡-cipio/PORTUGUES/NA | Jacarandi¡-sangue/PORTUGUES/NA,BR-AL|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PE|BR-PR|BR-RJ|BR-SP,native,"0,333333333333333","0,333333333333333","0,333333333333333",0,0,1,0,0
Carpotroche brasiliensis,35,Arbusto|Árvore,250,Carpotroche brasiliensis,Achariaceae,Carpotroche,brasiliensis,recalcitrant,zoochoric,"84,8","93,7","11,7","22,3","0,45",20,Carpotroche brasiliensis,sp_0078,4248,Carpotroche brasiliensis (Raddi) A Gray,NA,Achariaceae,species,accepted,Carpotroche brasiliensis,NA,,Carpotroche brasiliensis,Arbusto|arvore,Terricola,NA,BR-AC|BR-BA|BR-ES|BR-MG|BR-RJ,native,"0,5","0,5",0,0,0,1,0,0
Sparattosperma leucanthum,35,Árvore,1750,Sparattosperma leucanthum,Bignoniaceae,Sparattosperma,leucanthum,orthodox,abiotic,"15,3",340,"3,5",14,"0,57",14,Sparattosperma leucanthum,sp_0085,114215,Sparattosperma leucanthum (Vell.) K.Schum.,NA,Bignoniaceae,species,accepted,Sparattosperma leucanthum,NA,,Sparattosperma leucanthum,arvore,Terricola,NA,BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-RJ|BR-RO|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Aureliana fasciculata,34,Árvore,135,Aureliana fasciculata,Solanaceae,Aureliana,fasciculata,orthodox,zoochoric,"8,4","9,2",NA,NA,NA,6,Aureliana fasciculata,sp_0086,14584,Aureliana fasciculata (Vell.) Sendtn.,NA,Solanaceae,species,accepted,Aureliana fasciculata,LC,,Aureliana fasciculata,arvore,Terricola,NA,BR-AC|BR-AL|BR-BA|BR-ES|BR-MG|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Myrsine coriacea,33,Arbusto|Árvore,1296,Myrsine coriacea,Primulaceae,Myrsine,coriacea,orthodox,zoochoric,"3,3",4,NA,NA,"0,59",18,Myrsine coriacea,sp_0096,10228,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.,NA,Primulaceae,species,accepted,Myrsine coriacea,NA,,Myrsine coriacea,Arbusto|arvore,Terricola,capororoquinha/PORTUGUES/Sudeste,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Drimys brasiliensis,33,Árvore,511,Drimys brasiliensis,Winteraceae,Drimys,brasiliensis,orthodox,zoochoric,"6,4","8,6",2,"3,5",NA,8,Drimys brasiliensis,sp_0095,15325,Drimys brasiliensis Miers,NA,Winteraceae,species,accepted,Drimys brasiliensis,LC,,Drimys brasiliensis,arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Myrciaria floribunda,32,Árvore,1289,Myrciaria floribunda,Myrtaceae,Myrciaria,floribunda,recalcitrant,zoochoric,"7,5","5,91","4,5","6,5","0,8375",14,Myrciaria floribunda,sp_0104,10792,Myrciaria floribunda (H.West ex Willd.) O.Berg,NA,Myrtaceae,species,accepted,Myrciaria floribunda,LC,,Myrciaria floribunda,arvore,Terricola,NA,BR-AC|BR-AL|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Platypodium elegans,32,Árvore,1491,Platypodium elegans,Fabaceae,Platypodium,elegans,orthodox,abiotic,20,58,7,15,"0,82",12,Platypodium elegans,sp_0105,23124,Platypodium elegans Vogel,NA,Fabaceae,species,accepted,Platypodium elegans,NA,,Platypodium elegans,arvore,Terricola,NA,BR-AC|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Miconia ibaguensis,32,Arbusto|Árvore,1132,Miconia ibaguensis,Melastomataceae,Miconia,ibaguensis,orthodox,zoochoric,"3,2","3,6",NA,NA,"0,61",12,Miconia ibaguensis,sp_0103,9714,Miconia ibaguensis (Bonpl.) Triana,NA,Melastomataceae,species,accepted,Miconia ibaguensis,NA,,Miconia ibaguensis,Arbusto|arvore,Terricola,NA,BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Andira fraxinifolia,32,Árvore,67,Andira fraxinifolia,Fabaceae,Andira,fraxinifolia,orthodox,zoochoric,"30,88","40,94","34,31","40,9","0,92",12,Andira fraxinifolia,sp_0097,29442,Andira fraxinifolia Benth.,NA,Fabaceae,species,accepted,Andira fraxinifolia,NA,,Andira fraxinifolia,arvore,Rupicola,NA,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Tibouchina estrellensis,32,Árvore,1869,Tibouchina estrellensis,Melastomataceae,Tibouchina,estrellensis,orthodox,abiotic,NA,NA,NA,NA,NA,10,Tibouchina estrellensis,sp_0107,9908,Tibouchina estrellensis (Raddi) Cogn.,NA,Melastomataceae,species,accepted,Tibouchina estrellensis,NA,,Tibouchina estrellensis,arvore,Terricola,NA,BR-ES|BR-MG|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Lychnophora ericoides,32,Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lychnophora ericoides,sp_0102,25233,Lychnophora ericoides Mart.,NA,Asteraceae,species,accepted,Lychnophora ericoides,NT,,Lychnophora ericoides,arvore,Terricola,NA,BR-BA|BR-DF|BR-GO|BR-MG|BR-SP,native,1,0,0,0,0,1,0,0
Myrcia guianensis,31,Árvore,1246,Myrcia guianensis,Myrtaceae,Myrcia,guianensis,recalcitrant,zoochoric,"5,5","5,4","3,97","4,55",NA,17,Myrcia guianensis,sp_0119,10699,Myrcia guianensis (Aubl.) DC.,NA,Myrtaceae,species,accepted,Myrcia guianensis,LC,,Myrcia guianensis,arvore,Terricola,NA,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Guapira opposita,31,Arbusto|Árvore,755,Guapira opposita,Nyctaginaceae,Guapira,opposita,recalcitrant,zoochoric,"6,53","6,95","3,84","6,1","0,83",20,Guapira opposita,sp_0114,10913,Guapira opposita (Vell.) Reitz,NA,Nyctaginaceae,species,accepted,Guapira opposita,NA,,Guapira opposita,Arbusto|arvore,Terricola,maria mole/PORTUGUES/NA | farinha-seca/PORTUGUES/NA | ciriba/PORTUGUES/NA | pau-piranha/PORTUGUES/NA | cebola/PORTUGUES/NA,BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Clethra scabra,31,Arbusto|Árvore,345,Clethra scabra,Clethraceae,Clethra,scabra,orthodox,abiotic,3,4,1,"1,5","0,5415",30,Clethra scabra var. laevigata,sp_6527,48281,Clethra scabra var. laevigata (Meisn.) Sleumer,NA,Clethraceae,variety,accepted,Clethra scabra var. laevigata,NA,,Clethra scabra var. laevigata,Arbusto|arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Myrcia amazonica,31,Arbusto|Árvore,1231,Myrcia amazonica,Myrtaceae,Myrcia,amazonica,recalcitrant,zoochoric,"8,4","7,09","4,51","5,5","0,82",8,Myrcia amazonica,sp_0117,10661,Myrcia amazonica DC.,NA,Myrtaceae,species,accepted,Myrcia amazonica,NA,,Myrcia amazonica,Arbusto|arvore,Terricola,arai§i¡/PORTUGUES/Acre,BR-AC|BR-AM|BR-AP|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SC|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Cyathea corcovadensis,31,Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea corcovadensis,sp_0113,90872,Cyathea corcovadensis (Raddi) Domin,NA,Cyatheaceae,species,accepted,Cyathea corcovadensis,LC,,Cyathea corcovadensis,arvore,Terricola,NA,BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Luehea grandiflora,31,Árvore,993,Luehea grandiflora,Malvaceae,Luehea,grandiflora,orthodox,abiotic,18,38,"4,1","12,4","0,58",14,Luehea grandiflora,sp_0115,9095,Luehea grandiflora Mart. & Zucc.,NA,Malvaceae,species,accepted,Luehea grandiflora,NA,,Luehea grandiflora,arvore,Terricola,ai§oita-cavalo/PORTUGUES/Sao Paulo | fruta-de-cavalo/PORTUGUES/Sao Paulo,BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Aparisthmium cordatum,30,Arbusto|Árvore,97,Aparisthmium cordatum,Euphorbiaceae,Aparisthmium,cordatum,NA,zoochoric,"9,89","7,27","4,19","5,1","0,455",15,Aparisthmium cordatum,sp_0121,17463,Aparisthmium cordatum (A.Juss.) Baill.,NA,Euphorbiaceae,species,accepted,Aparisthmium cordatum,NA,,Aparisthmium cordatum,Arbusto|arvore,Terricola,ariquena queimosa/PORTUGUES/norte/Pari¡ | marmelo/PORTUGUES/norte/Acre,BR-AC|BR-AM|BR-AP|BR-BA|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SC|BR-SE|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Ocotea tristis,30,Arbusto|Árvore,1385,Ocotea tristis,Lauraceae,Ocotea,tristis,recalcitrant,zoochoric,6,11,"5,1","9,35",NA,15,Ocotea tristis,sp_0125,8489,Ocotea tristis (Nees & Mart.) Mez,NA,Lauraceae,species,accepted,Ocotea tristis,LC,,Ocotea tristis,Arbusto|arvore,Terricola,canela do brejo/PORTUGUES/sudeste,BR-GO|BR-MG|BR-PR|BR-RS|BR-SC|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Psidium rufum,30,Árvore,1576,Psidium rufum,Myrtaceae,Psidium,rufum,orthodox,zoochoric,"19,4","21,6","8,3",10,"0,93",5,Psidium rufum,sp_0128,10883,Psidium rufum Mart. ex DC.,NA,Myrtaceae,species,accepted,Psidium rufum,NA,,Psidium rufum,arvore,Terricola,NA,BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-PR|BR-SP,native,1,0,0,0,0,1,0,0
Piper aduncum,29,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Piper aduncum,sp_0140,12738,Piper aduncum L.,NA,Piperaceae,species,accepted,Piper aduncum,NA,,Piper aduncum,Arbusto|arvore,Terricola,pimenta longa/PORTUGUES/Acre | ti nixpu Kaxinawi¡/PORTUGUES/Acre,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Inga capitata,29,Árvore,869,Inga capitata,Fabaceae,Inga,capitata,recalcitrant,zoochoric,20,70,"7,3","13,6","0,59",14,Inga capitata,sp_0136,22990,Inga capitata Desv.,NA,Fabaceae,species,accepted,Inga capitata,NA,,Inga capitata,arvore,Terricola,inga/PORTUGUES/Acre | ingi¡ branca/PORTUGUES/Nordeste | ingi¡ de veado/PORTUGUES/Acre | ingi¡ dura/PORTUGUES/Acre | ingi¡ facao/PORTUGUES/Acre | ingi¡ ferro/PORTUGUES/MG | ingi¡ feijao/PORTUGUES/ES | ingi¡ fava/PORTUGUES/BA | kwaracua/PORTUGUES/RR,BR-AC|BR-AM|BR-AP|BR-BA|BR-ES|BR-MA|BR-MG|BR-PA|BR-PB|BR-PE|BR-RJ|BR-RO|BR-RR|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Inga vera,29,Árvore,891,Inga vera,Fabaceae,Inga,vera,recalcitrant,zoochoric,25,68,NA,NA,"0,605",10,Inga vera,sp_0137,23039,Inga vera Willd.,NA,Fabaceae,species,accepted,Inga vera,NA,,Inga vera,arvore,Terricola,NA,BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Aegiphila integrifolia,29,Arbusto|Árvore,21,Aegiphila integrifolia,Lamiaceae,Aegiphila,integrifolia,orthodox,zoochoric,8,9,7,8,"0,43",15,Aegiphila integrifolia,sp_0132,23320,Aegiphila integrifolia (Jacq.) Moldenke,NA,Lamiaceae,species,accepted,Aegiphila integrifolia,NA,,Aegiphila integrifolia,Arbusto|arvore,Terricola,NA,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Abarema brachystachya,29,Árvore,1,Abarema brachystachya,Fabaceae,Abarema,brachystachya,orthodox,zoochoric,7,7,"6,3",NA,NA,3,Abarema brachystachya,sp_0131,82544,Abarema brachystachya (DC.) Barneby & J.W.Grimes,NA,Fabaceae,species,accepted,Abarema brachystachya,NA,,Abarema brachystachya,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Maytenus gonoclada,28,Arbusto|Árvore,1077,Maytenus gonoclada,Celastraceae,Maytenus,gonoclada,recalcitrant,zoochoric,7,1,"5,7","12,5","0,59",20,Maytenus gonoclada,sp_0145,6761,Maytenus gonoclada Mart.,NA,Celastraceae,species,accepted,Maytenus gonoclada,NA,,Maytenus gonoclada,Arbusto|arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RO|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Psychotria carthagenensis,27,Arbusto|Árvore,1580,Psychotria carthagenensis,Rubiaceae,Psychotria,carthagenensis,orthodox,zoochoric,"5,5","5,2","4,3",5,"0,48",12,Psychotria carthagenensis,sp_0168,14167,Psychotria carthagenensis Jacq.,NA,Rubiaceae,species,accepted,Psychotria carthagenensis,NA,,Psychotria carthagenensis,Arbusto|arvore,Terricola,chacrona/PORTUGUES/Acre | rainha/PORTUGUES/Acre,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
