especies,registros BHRD,Hábito,ID,SpecieName,Family,Genus,Specific.Epiteth,Seed.type,Sind,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,scientificName,id_bhrd,id_flora,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vernacular.name,occurrence,establishment,arvore_life.form,Arbusto_life.form,LVT_life.form,Subarbusto_life.form,suculenta_life.form,Terricola_habitat,Rupicola_habitat,Hemiepifita_habitat
Sorocea guilleminiana,22,Arbusto|Árvore,1745,Sorocea guilleminiana,Moraceae,Sorocea,guilleminiana,recalcitrant,zoochoric,"14,3","15,7","8,29","5,8","0,43",20,Sorocea guilleminiana,sp_0259,10192,Sorocea guilleminiana Gaudich.,NA,Moraceae,species,accepted,Sorocea guilleminiana,LC,,Sorocea guilleminiana,Arbusto|arvore,Terricola,bainha-de-espada/PORTUGUES/sudeste,BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Inga edulis,22,Árvore,871,Inga edulis,Fabaceae,Inga,edulis,recalcitrant,zoochoric,"8,23",405,"5,84","21,3","0,59",26,Inga edulis,sp_0251,23000,Inga edulis Mart.,NA,Fabaceae,species,accepted,Inga edulis,NA,,Inga edulis,arvore,Terricola,"ingi¡ de metro/PORTUGUES/Sao Paulo, Mato Grosso | ingi¡ doce/PORTUGUES/Sao Paulo | ingi¡ macarrao/PORTUGUES/Espi­rito Santo | ingi¡ vermelho/PORTUGUES/Minas Gerais | ingi¡ timbio/PORTUGUES/Pari¡ | ingi¡ rabo de mico/PORTUGUES/Santa Catarina",BR-AC|BR-AM|BR-AP|BR-BA|BR-ES|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Guarea kunthiana,22,Árvore,761,Guarea kunthiana,Meliaceae,Guarea,kunthiana,recalcitrant,zoochoric,40,40,10,20,"0,82",25,Guarea kunthiana,sp_0250,9996,Guarea kunthiana A.Juss.,NA,Meliaceae,species,accepted,Guarea kunthiana,NA,,Guarea kunthiana,arvore,Terricola,carrapeta graiºda/PORTUGUES/Rio de Janeiro | cedro bravo/PORTUGUES/Acre | gitio de terra firme/PORTUGUES/Acre | jitio/PORTUGUES/Acre | jitio branco/PORTUGUES/Acre | jitio preto/PORTUGUES/Acre | mancore/PORTUGUES/Roraima | peloteira/PORTUGUES/Minas Gerais,BR-AC|BR-AM|BR-AP|BR-BA|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Myrcia hebepetala,22,Árvore,1249,Myrcia hebepetala,Myrtaceae,Myrcia,hebepetala,recalcitrant,zoochoric,"9,4",9,"8,8",10,"0,78",6,Myrcia hebepetala,sp_0252,10702,Myrcia hebepetala DC.,NA,Myrtaceae,species,accepted,Myrcia hebepetala,NA,,Myrcia hebepetala,arvore,Terricola,NA,BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Erythroxylum pelleterianum,22,Arbusto|Árvore,573,Erythroxylum pelleterianum,Erythroxylaceae,Erythroxylum,pelleterianum,recalcitrant,zoochoric,3,"6,5",NA,NA,NA,20,Erythroxylum pelleterianum,sp_0248,17427,Erythroxylum pelleterianum A.St.-Hil.,NA,Erythroxylaceae,species,accepted,Erythroxylum pelleterianum,LC,,Erythroxylum pelleterianum,Arbusto|arvore,Terricola,"sessenta-e-um/PORTUGUES/Minas Gerais | gumirim/PORTUGUES/Minas Gerais | guaribalde/PORTUGUES/Minas Gerais | vaquinha/PORTUGUES/Minas Gerais | cocao/PORTUGUES/Parani¡ | fruta-de-pomba/PORTUGUES/Minas Gerais, Parani¡",BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Solanum leptostachys,22,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solanum leptostachys,sp_0258,14801,Solanum leptostachys Dunal,NA,Solanaceae,species,accepted,Solanum leptostachys,NA,,Solanum leptostachys,Arbusto|arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Inga striata,21,Árvore,887,Inga striata,Fabaceae,Inga,striata,recalcitrant,zoochoric,34,96,"3,18","16,8","0,579",20,Inga striata,sp_0278,23029,Inga striata Benth.,NA,Fabaceae,species,accepted,Inga striata,NA,,Inga striata,arvore,Terricola,"ingi¡ banana, Ingi¡ caixao, ingi¡ facao/PORTUGUES/Sudeste | ingi¡ banana/PORTUGUES/Minas Gerais | ingi¡ branco/PORTUGUES/Espi­rito Santo | ingi¡ de quatro quina/PORTUGUES/Santa Catarina",BR-AC|BR-BA|BR-ES|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Inga marginata,21,Árvore,880,Inga marginata,Fabaceae,Inga,marginata,recalcitrant,zoochoric,15,110,9,11,"0,585",15,Inga marginata,sp_0277,23012,Inga marginata Willd.,NA,Fabaceae,species,accepted,Inga marginata,NA,,Inga marginata,arvore,Terricola,"ingi¡ feijao/PORTUGUES/SC, PR, RJ, SP | ingi¡, ingi¡ mirim/PORTUGUES/Acre",BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Pseudobombax grandiflorum,21,Árvore,1557,Pseudobombax grandiflorum,Malvaceae,Pseudobombax,grandiflorum,orthodox,abiotic,43,270,5,6,"0,39",25,Pseudobombax grandiflorum,sp_0284,9195,Pseudobombax grandiflorum (Cav.) A.Robyns,NA,Malvaceae,species,accepted,Pseudobombax grandiflorum,LC,,Pseudobombax grandiflorum,arvore,Terricola,NA,BR-AL|BR-BA|BR-MA|BR-MG|BR-RJ|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Myrcia venulosa,21,Árvore,1284,Myrcia venulosa,Myrtaceae,Myrcia,venulosa,recalcitrant,zoochoric,"5,5",NA,NA,NA,NA,7,Myrcia venulosa,sp_0281,10776,Myrcia venulosa DC.,NA,Myrtaceae,species,accepted,Myrcia venulosa,LC,,Myrcia venulosa,arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
